file_names,integrated_signal_Vs
1b_SR_2_1366.csv,8.003284299613867e-07
1b_SR_1_5367.csv,6.429557911892363e-07
1b_SR_1_3467.csv,8.179577588080868e-07
1b_SR_1_0119.csv,1.5127775158034897e-06
1b_SR_1_4590.csv,9.477419702245591e-07
1b_SR_1_4220.csv,9.050920575488043e-07
1b_SR_1_3905.csv,1.2030949181505982e-06
1b_SR_1_0146.csv,8.791415607648405e-07
1b_SR_1_0599.csv,1.175606564806864e-06
1b_SR_1_3505.csv,1.0141697704576777e-06
1b_SR_2_1911.csv,1.3079308766471465e-06
1b_SR_2_1190.csv,1.3574147240025127e-06
1b_SR_1_5334.csv,1.8268775567206503e-06
1b_SR_2_0121.csv,1.3170052499899593e-06
1b_SR_1_1047.csv,7.723493779713335e-07
1b_SR_2_3988.csv,8.151064071337885e-07
1b_SR_1_1023.csv,8.60061405061792e-07
1b_SR_1_4655.csv,9.140037703833316e-07
1b_SR_2_3417.csv,6.278039599251202e-07
1b_SR_2_3892.csv,1.0920911615686536e-06
1b_SR_2_3742.csv,7.162139263181623e-07
1b_SR_1_0521.csv,8.633150116058326e-07
1b_SR_1_5595.csv,1.5140644629233378e-06
1b_SR_2_2294.csv,1.473926843527582e-06
1b_SR_1_0033.csv,1.1175988293126172e-06
1b_SR_2_1621.csv,8.77284522255938e-07
1b_SR_2_0230.csv,1.497094067438552e-06
1b_SR_1_1472.csv,8.739858304052976e-07
1b_SR_2_1329.csv,9.255689014060156e-07
1b_SR_2_2070.csv,1.2565416764036929e-06
1b_SR_1_4457.csv,1.1294589442672972e-06
1b_SR_2_2238.csv,1.0087435906335613e-06
1b_SR_2_3354.csv,1.2256838016372985e-06
1b_SR_1_4001.csv,7.531254661365007e-07
1b_SR_2_3154.csv,6.316987335774451e-07
1b_SR_1_4582.csv,1.5192258591933068e-06
1b_SR_2_3970.csv,1.1549739518178088e-06
1b_SR_1_2602.csv,1.169784278012336e-06
1b_SR_2_2272.csv,8.982482933945052e-07
1b_SR_2_0324.csv,8.75148517302333e-07
1b_SR_1_4734.csv,1.2524379248269636e-06
1b_SR_1_5071.csv,9.638682794367317e-07
1b_SR_1_4699.csv,8.911548637886516e-07
1b_SR_1_3277.csv,7.441423296726897e-07
1b_SR_1_3450.csv,1.1790234210576563e-06
1b_SR_1_2774.csv,8.226130512651983e-07
1b_SR_2_0200.csv,1.623782469877378e-06
1b_SR_2_2166.csv,7.00521037568109e-07
1b_SR_2_2961.csv,1.5156819524726206e-06
1b_SR_2_0915.csv,1.0160899941027688e-06
1b_SR_1_4947.csv,7.903687098933306e-07
1b_SR_2_1884.csv,8.024815134590324e-07
1b_SR_1_4135.csv,8.411524294132544e-07
1b_SR_1_4362.csv,8.946705923379354e-07
1b_SR_1_2617.csv,1.2349614571739447e-06
1b_SR_1_3477.csv,1.1228345695072213e-06
1b_SR_1_4290.csv,1.3127213921434114e-06
1b_SR_1_3057.csv,1.6206683743681714e-06
1b_SR_2_3746.csv,6.438814089198764e-07
1b_SR_1_5057.csv,1.0098331091759164e-06
1b_SR_2_1677.csv,9.196896785606715e-07
1b_SR_2_1443.csv,8.0487026125417e-07
1b_SR_1_3534.csv,8.820289232210297e-07
1b_SR_2_2265.csv,1.0241889930573728e-06
1b_SR_1_1753.csv,8.821296340514642e-07
1b_SR_1_2453.csv,7.392007897768825e-07
1b_SR_2_0577.csv,7.132060276205934e-07
1b_SR_1_2826.csv,9.058019181262203e-07
1b_SR_1_1599.csv,1.3638316586264766e-06
1b_SR_2_1390.csv,1.3236952874078331e-06
1b_SR_1_3918.csv,8.990964224809768e-07
1b_SR_1_0713.csv,6.72728714322331e-07
1b_SR_1_5952.csv,8.361095544427667e-07
1b_SR_2_2478.csv,1.6104599165398858e-06
1b_SR_2_2186.csv,9.76899046472334e-07
1b_SR_1_4368.csv,9.84216459414918e-07
1b_SR_1_4540.csv,1.0267199376071137e-06
1b_SR_2_2698.csv,1.010643657461923e-06
1b_SR_1_5008.csv,7.160521965132238e-07
1b_SR_1_2912.csv,8.689462517542008e-07
1b_SR_1_2563.csv,7.531201231507993e-07
1b_SR_1_3805.csv,1.196572487373258e-06
1b_SR_1_0252.csv,7.699891013713335e-07
1b_SR_1_0429.csv,7.338133355698774e-07
1b_SR_1_4344.csv,9.329707194869901e-07
1b_SR_1_0227.csv,7.426930080741462e-07
1b_SR_2_2861.csv,8.941102830462203e-07
1b_SR_1_0487.csv,8.509046118946344e-07
1b_SR_1_5713.csv,7.038371558823313e-07
1b_SR_1_3646.csv,8.285228015588797e-07
1b_SR_2_0825.csv,1.1211261788391645e-06
1b_SR_2_2150.csv,8.094492068417684e-07
1b_SR_2_1706.csv,1.0865071992713073e-06
1b_SR_2_0548.csv,1.1681882993642798e-06
1b_SR_1_1328.csv,1.2022492228188837e-06
1b_SR_2_0330.csv,8.195944740873937e-07
1b_SR_1_1838.csv,8.598868319704659e-07
1b_SR_1_1039.csv,6.942125372317675e-07
1b_SR_1_3726.csv,1.6333900051240024e-06
1b_SR_1_3221.csv,7.688403522749921e-07
1b_SR_2_2960.csv,1.2197149929811095e-06
1b_SR_2_2290.csv,1.5619001137099846e-06
1b_SR_1_5910.csv,9.102368753196732e-07
1b_SR_1_2792.csv,1.3377944578190136e-06
1b_SR_1_5136.csv,6.3950169958384e-07
1b_SR_2_2351.csv,1.7601786838296814e-06
1b_SR_1_0275.csv,6.18912091718725e-07
1b_SR_1_5140.csv,1.7373003490721128e-06
1b_SR_1_0065.csv,8.590552553865015e-07
1b_SR_1_2422.csv,1.1193869195686536e-06
1b_SR_1_0080.csv,7.916860466095958e-07
1b_SR_2_3974.csv,8.967708846671956e-07
1b_SR_1_1983.csv,9.275130756298792e-07
1b_SR_1_2456.csv,7.15388403048726e-07
1b_SR_1_2955.csv,6.923591355327422e-07
1b_SR_2_3241.csv,9.061647919490332e-07
1b_SR_1_3542.csv,7.769253095364246e-07
1b_SR_2_1022.csv,1.5219602207189394e-06
1b_SR_1_1114.csv,1.1456905224966574e-06
1b_SR_2_0886.csv,7.26847667552995e-07
