file_names,integrated_signal_Vs
1a_1325_0664.csv,8.606891134914867e-07
1a_1325_0259.csv,9.93864380809592e-07
1a_1325_0924.csv,8.220710420520338e-07
1a_1325_0590.csv,8.072045057974756e-07
1a_1325_0903.csv,7.046990370045296e-07
1a_1325_0461.csv,9.062284092107273e-07
1a_1325_0059.csv,1.0134516496580364e-06
1a_1325_0262.csv,1.8861887311737886e-06
1a_1325_0736.csv,1.1332304687962144e-06
1a_1325_0752.csv,8.7907962588574e-07
1a_1325_0204.csv,7.588125307020408e-07
1a_1325_0101.csv,9.1113835656323e-07
1a_1325_0456.csv,9.051706208285196e-07
1a_1325_0520.csv,1.1928194321538273e-06
1a_1325_0109.csv,8.320877298900306e-07
1a_1325_0491.csv,1.0853656006205446e-06
1a_1325_0136.csv,1.0353247643126677e-06
1a_1325_0643.csv,1.0965313386750325e-06
1a_1325_0502.csv,1.0674170065482253e-06
1a_1325_0146.csv,7.551280971908908e-07
1a_1325_0006.csv,1.3312867658281698e-06
1a_1325_0813.csv,8.391322347243746e-07
1a_1325_0764.csv,8.797297093315695e-07
1a_1325_0024.csv,1.057418455993737e-06
1a_1325_0299.csv,1.038941568793798e-06
1a_1325_0057.csv,1.1019108931458767e-06
1a_1325_0886.csv,7.564735879910133e-07
1a_1325_0063.csv,7.542479359567907e-07
1a_1325_0318.csv,8.914101974963618e-07
1a_1325_0465.csv,1.6286956518215853e-06
1a_1325_0972.csv,1.1109984572438219e-06
1a_1325_0302.csv,9.372778101536992e-07
1a_1325_0857.csv,8.51572055740521e-07
1a_1325_0758.csv,9.750340234114944e-07
1a_1325_0708.csv,8.451550047603072e-07
1a_1325_0770.csv,8.680360644746517e-07
1a_1325_0459.csv,1.0149188629547716e-06
1a_1325_0264.csv,1.4026904576905647e-06
1a_1325_0888.csv,7.165576155686201e-07
1a_1325_0642.csv,8.710080833709289e-07
1a_1325_0058.csv,8.897210832383559e-07
1a_1325_0901.csv,1.1123411060487666e-06
1a_1325_0047.csv,8.365026593320549e-07
1a_1325_0031.csv,1.0000965019344358e-06
1a_1325_0327.csv,8.041546177049117e-07
1a_1325_0685.csv,8.910505685181117e-07
1a_1325_0778.csv,9.424725679013796e-07
1a_1325_0291.csv,1.237562271685762e-06
1a_1325_0843.csv,1.819283381038485e-06
1a_1325_0405.csv,7.813364098887657e-07
1a_1325_0247.csv,1.3323887601133364e-06
1a_1325_0407.csv,1.1655473286518726e-06
1a_1325_0712.csv,1.5053830402671937e-06
1a_1325_0955.csv,1.5946356792912168e-06
1a_1325_0784.csv,7.896144963670679e-07
1a_1325_0962.csv,9.795885538369977e-07
1a_1325_0150.csv,8.620186701022496e-07
1a_1325_0519.csv,8.785579942327399e-07
1a_1325_0412.csv,1.0314174178543566e-06
1a_1325_0386.csv,1.3782812612527602e-06
1a_1325_0975.csv,1.240645867849689e-06
1a_1325_0426.csv,9.034400015783162e-07
1a_1325_0557.csv,8.079095890466315e-07
1a_1325_0359.csv,1.2829316527666913e-06
1a_1325_0576.csv,1.0666777913228529e-06
1a_1325_0013.csv,7.772350903981346e-07
1a_1325_0223.csv,9.131430529450104e-07
1a_1325_0929.csv,7.585295533508913e-07
1a_1325_0266.csv,9.774209067988086e-07
1a_1325_0493.csv,9.394087376335465e-07
1a_1325_0176.csv,8.981950659052642e-07
1a_1325_0853.csv,1.1542000838558392e-06
1a_1325_0799.csv,9.596249319535073e-07
1a_1325_0789.csv,1.0549247155881731e-06
1a_1325_0236.csv,8.170383069412807e-07
1a_1325_0009.csv,8.854957934568498e-07
1a_1325_0119.csv,9.995678216840795e-07
1a_1325_0814.csv,9.153227934687943e-07
1a_1325_0336.csv,9.609100065678423e-07
1a_1325_0167.csv,7.865000228105978e-07
1a_1325_0797.csv,1.551837497797135e-06
1a_1325_0169.csv,8.137602427208537e-07
1a_1325_0655.csv,7.973527645539452e-07
1a_1325_0840.csv,8.65532943598527e-07
1a_1325_0385.csv,8.08910000212003e-07
1a_1325_0430.csv,9.349863470406079e-07
1a_1325_0049.csv,9.221067990755197e-07
1a_1325_0003.csv,1.3959061725902286e-06
1a_1325_0295.csv,1.445659750845216e-06
1a_1325_0918.csv,1.1428796696068457e-06
1a_1325_0724.csv,7.332107753332083e-07
1a_1325_0419.csv,1.4037695845392534e-06
1a_1325_0695.csv,1.143751405836367e-06
1a_1325_0554.csv,7.811086148979825e-07
1a_1325_0757.csv,8.030303017011372e-07
1a_1325_0212.csv,9.134202806068001e-07
1a_1325_0594.csv,8.550184525352712e-07
1a_1325_0263.csv,8.658220996142951e-07
1a_1325_0256.csv,8.500583564697069e-07
