file_names,integrated_signal_Vs
1a_1300_0845.csv,5.66638758053763e-07
1a_1300_0465.csv,5.292432086512313e-07
1a_1300_0700.csv,5.889810461465527e-07
1a_1300_0288.csv,4.72981408838213e-07
1a_1300_0265.csv,5.880560408669341e-07
1a_1300_0541.csv,8.571223969417913e-07
1a_1300_0980.csv,4.398590593689294e-07
1a_1300_0574.csv,7.931947332413869e-07
1a_1300_0985.csv,4.581259150488532e-07
1a_1300_0767.csv,4.836152828513837e-07
1a_1300_0427.csv,6.76636035665449e-07
1a_1300_0951.csv,4.732603518608731e-07
1a_1300_0802.csv,5.71460987220234e-07
1a_1300_0127.csv,6.390626821398002e-07
1a_1300_0885.csv,1.0110117092798804e-06
1a_1300_0464.csv,9.355303136125394e-07
1a_1300_0227.csv,5.434233281482664e-07
1a_1300_0481.csv,6.027592511692888e-07
1a_1300_0707.csv,6.601129828746326e-07
1a_1300_0895.csv,5.728172315747615e-07
1a_1300_0818.csv,6.3741759345182e-07
1a_1300_0086.csv,5.504944666244027e-07
1a_1300_0246.csv,6.447081544118199e-07
1a_1300_0131.csv,7.583920310114099e-07
1a_1300_0438.csv,6.91326408477011e-07
1a_1300_0869.csv,6.739037102147324e-07
1a_1300_0537.csv,4.2801025146366185e-07
1a_1300_0121.csv,4.154094629781893e-07
1a_1300_0368.csv,8.744032528101605e-07
1a_1300_0232.csv,7.907521790510524e-07
1a_1300_0092.csv,4.783496193979839e-07
1a_1300_0307.csv,5.21262924417932e-07
1a_1300_0402.csv,5.081436264389062e-07
1a_1300_0945.csv,4.539250395277783e-07
1a_1300_0374.csv,8.39461427190747e-07
1a_1300_0716.csv,5.710831730202337e-07
1a_1300_0513.csv,6.067058881077035e-07
1a_1300_0089.csv,1.0117343843375257e-06
1a_1300_0008.csv,6.053777391308214e-07
1a_1300_0562.csv,5.491421889378553e-07
1a_1300_0958.csv,5.207169411032515e-07
1a_1300_0214.csv,7.426395922618208e-07
1a_1300_0363.csv,4.6791625444345673e-07
1a_1300_0117.csv,9.366155205202902e-07
1a_1300_0469.csv,5.539198616763464e-07
1a_1300_0226.csv,4.941343996113077e-07
1a_1300_0118.csv,5.243660412855303e-07
1a_1300_0991.csv,4.757054916900039e-07
1a_1300_0543.csv,5.269717146579314e-07
1a_1300_0859.csv,4.850838350605674e-07
1a_1300_0274.csv,6.565173104571398e-07
1a_1300_0796.csv,4.956871860447607e-07
1a_1300_0432.csv,4.897922240045317e-07
1a_1300_0222.csv,5.170977519032515e-07
1a_1300_0329.csv,5.457116100015139e-07
1a_1300_0820.csv,5.879113918537629e-07
1a_1300_0665.csv,9.778945580442015e-07
1a_1300_0448.csv,5.00322032233739e-07
1a_1300_0123.csv,7.702936366804641e-07
1a_1300_0789.csv,5.08038332131079e-07
1a_1300_0721.csv,5.39975344686986e-07
1a_1300_0645.csv,5.054830105485713e-07
1a_1300_0106.csv,7.896335348296718e-07
1a_1300_0792.csv,4.7253950490072083e-07
1a_1300_0997.csv,5.4739134308159e-07
1a_1300_0333.csv,4.375492663823059e-07
1a_1300_0102.csv,6.730369466874221e-07
1a_1300_0094.csv,5.47675163504632e-07
1a_1300_0967.csv,5.952059155640452e-07
1a_1300_0503.csv,9.762786144441252e-07
1a_1300_0559.csv,6.729139944775449e-07
1a_1300_0416.csv,5.092920339246843e-07
1a_1300_0322.csv,5.792853249891886e-07
1a_1300_0066.csv,5.379589842752717e-07
1a_1300_0212.csv,4.894524031622531e-07
1a_1300_0234.csv,7.362822814551209e-07
1a_1300_0816.csv,5.725315796589301e-07
1a_1300_0670.csv,6.102362825757598e-07
1a_1300_0994.csv,7.172948931338173e-07
1a_1300_0256.csv,4.5692287267821317e-07
1a_1300_0763.csv,7.847142420070121e-07
1a_1300_0455.csv,5.960546343975738e-07
1a_1300_0854.csv,8.583251936372945e-07
1a_1300_0846.csv,7.406208015539171e-07
1a_1300_0675.csv,6.782839980824071e-07
1a_1300_0790.csv,5.94851903221614e-07
1a_1300_0243.csv,5.481466658471391e-07
1a_1300_0998.csv,5.607361701563468e-07
1a_1300_0454.csv,6.482406771132526e-07
1a_1300_0447.csv,5.113871266739679e-07
1a_1300_0570.csv,7.88168637388521e-07
1a_1300_0483.csv,6.623808119598001e-07
1a_1300_0741.csv,7.107295162595946e-07
1a_1300_0712.csv,5.289993714002867e-07
1a_1300_0173.csv,6.747447684624598e-07
1a_1300_0317.csv,6.566765983503112e-07
1a_1300_0230.csv,4.771627538607965e-07
1a_1300_0674.csv,1.0278069563025406e-06
1a_1300_0375.csv,5.756823095631229e-07
1a_1300_0182.csv,7.513480493257844e-07
1a_1300_0520.csv,6.293369054573687e-07
1a_1300_0563.csv,6.784359856752494e-07
1a_1300_0842.csv,5.536729666016665e-07
1a_1300_0220.csv,1.6909991945139794e-06
1a_1300_0352.csv,4.064516755101327e-07
1a_1300_0025.csv,8.968108841660679e-07
1a_1300_0770.csv,1.047814588987555e-06
1a_1300_0162.csv,7.524241362859374e-07
1a_1300_0192.csv,4.420508985955292e-07
1a_1300_0853.csv,5.626576155680616e-07
1a_1300_0540.csv,6.151216822159891e-07
1a_1300_0213.csv,5.080029297032517e-07
1a_1300_0969.csv,4.655550374209493e-07
1a_1300_0735.csv,4.2831863871826557e-07
1a_1300_0330.csv,4.844389751179077e-07
1a_1300_0444.csv,6.751680932304637e-07
1a_1300_0872.csv,4.837248393981371e-07
1a_1300_0637.csv,9.797903691403902e-07
1a_1300_0314.csv,5.331883351723826e-07
1a_1300_0421.csv,5.918113545859357e-07
1a_1300_0748.csv,7.055116928020259e-07
1a_1300_0100.csv,5.176907246061408e-07
1a_1300_0037.csv,1.82616385156081e-06
1a_1300_0878.csv,5.4133678017223e-07
1a_1300_0442.csv,4.963186079417188e-07
1a_1300_0974.csv,5.369750816650126e-07
1a_1300_0814.csv,4.748348082901567e-07
1a_1300_0255.csv,5.198052093987774e-07
1a_1300_0050.csv,6.023979017068578e-07
1a_1300_0382.csv,6.421093605000289e-07
1a_1300_0379.csv,9.64362952590954e-07
1a_1300_0803.csv,5.306876452352715e-07
1a_1300_0843.csv,9.828635975510302e-07
1a_1300_0695.csv,6.20634856266705e-07
1a_1300_0927.csv,4.951436446220242e-07
1a_1300_0978.csv,6.54899213063916e-07
1a_1300_0960.csv,6.955059008020261e-07
1a_1300_0279.csv,6.925425500302346e-07
1a_1300_0530.csv,5.191760748806677e-07
1a_1300_0418.csv,5.609583583796168e-07
1a_1300_0072.csv,6.848518981500065e-07
1a_1300_0293.csv,6.53145306658291e-07
1a_1300_0902.csv,7.156716140886498e-07
1a_1300_0599.csv,6.727813933852197e-07
1a_1300_0618.csv,4.677120825980605e-07
1a_1300_0241.csv,8.037797926420733e-07
1a_1300_0648.csv,5.80618978145554e-07
1a_1300_0918.csv,8.962038556834606e-07
1a_1300_0298.csv,5.401459416751192e-07
1a_1300_0398.csv,7.152449862604406e-07
1a_1300_0718.csv,4.574627487291581e-07
1a_1300_0501.csv,7.012562180420261e-07
1a_1300_0954.csv,4.999277307592879e-07
1a_1300_0142.csv,4.661736468102331e-07
1a_1300_0502.csv,7.276550364551208e-07
1a_1300_0950.csv,4.6060661314468444e-07
1a_1300_0031.csv,4.836691466699278e-07
1a_1300_0888.csv,5.717387000988541e-07
1a_1300_0128.csv,7.072796387190082e-07
1a_1300_0620.csv,5.150719415313079e-07
1a_1300_0231.csv,4.7257002408338016e-07
1a_1300_0550.csv,5.143800947713075e-07
1a_1300_0851.csv,5.012342323069626e-07
1a_1300_0364.csv,5.925230341051728e-07
1a_1300_0403.csv,7.734938118069358e-07
1a_1300_0777.csv,8.067318214759905e-07
1a_1300_0506.csv,4.3696346321424923e-07
1a_1300_0831.csv,7.427268877645573e-07
1a_1300_0261.csv,9.30086396308499e-07
1a_1300_0972.csv,6.725895665967823e-07
1a_1300_0990.csv,8.867096942810295e-07
1a_1300_0346.csv,4.92662040789852e-07
1a_1300_0531.csv,4.736760187698516e-07
1a_1300_0205.csv,7.282836898271408e-07
1a_1300_0870.csv,6.446504877600288e-07
1a_1300_0456.csv,6.032902962549138e-07
1a_1300_0445.csv,4.838679742674968e-07
1a_1300_0079.csv,4.737993039009494e-07
1a_1300_0396.csv,6.317957826331761e-07
1a_1300_0380.csv,5.75709470100234e-07
1a_1300_0758.csv,8.835114998860684e-07
1a_1300_0966.csv,1.0633335800870378e-06
1a_1300_0422.csv,8.238569818826144e-07
1a_1300_0156.csv,5.643700137855538e-07
1a_1300_0394.csv,9.469396335165031e-07
1a_1300_0545.csv,6.842628954995947e-07
1a_1300_0219.csv,6.709439934689309e-07
1a_1300_0144.csv,6.698480711887021e-07
1a_1300_0867.csv,7.089486874152736e-07
1a_1300_0408.csv,4.701950755687005e-07
1a_1300_0377.csv,5.957349748859592e-07
1a_1300_0009.csv,7.57798763273917e-07
1a_1300_0955.csv,6.956902321182386e-07
1a_1300_0505.csv,6.593777930970637e-07
1a_1300_0453.csv,7.138826326205172e-07
1a_1300_0557.csv,5.564882985043264e-07
1a_1300_0369.csv,8.032661349495958e-07
1a_1300_0015.csv,7.686929378439475e-07
1a_1300_0566.csv,5.842525211400815e-07
1a_1300_0093.csv,7.373385471509281e-07
1a_1300_0034.csv,6.17102949365349e-07
1a_1300_0493.csv,5.408683214524587e-07
1a_1300_0075.csv,1.169635343133182e-06
1a_1300_0946.csv,6.153489013708215e-07
1a_1300_0365.csv,6.949077475219499e-07
1a_1300_0029.csv,6.783129945728183e-07
1a_1300_0534.csv,5.565275179070627e-07
1a_1300_0401.csv,9.442262275749182e-07
1a_1300_0480.csv,8.291949716774471e-07
1a_1300_0886.csv,1.0544996948585238e-06
1a_1300_0498.csv,5.860650109629705e-07
1a_1300_0667.csv,7.056243035221025e-07
1a_1300_0868.csv,5.607563119562704e-07
1a_1300_0651.csv,6.438615773145562e-07
1a_1300_0098.csv,4.815360509647608e-07
1a_1300_0919.csv,7.388504297821262e-07
1a_1300_0526.csv,6.683062816409509e-07
1a_1300_0195.csv,5.233540453487244e-07
1a_1300_0921.csv,7.941707277439705e-07
1a_1300_0309.csv,7.053233974940463e-07
1a_1300_0159.csv,1.1575335421822068e-06
1a_1300_0608.csv,9.229565433238657e-07
1a_1300_0650.csv,1.2249415945747902e-06
1a_1300_0077.csv,5.494928443667577e-07
1a_1300_0811.csv,6.599414797439161e-07
1a_1300_0580.csv,4.4068397646496526e-07
1a_1300_0479.csv,5.99233912222917e-07
1a_1300_0762.csv,5.856402005871629e-07
1a_1300_0336.csv,6.109669132058063e-07
1a_1300_0155.csv,7.346105329479794e-07
1a_1300_0281.csv,9.410163001447122e-07
1a_1300_0882.csv,8.593240759585219e-07
1a_1300_0875.csv,5.039537337938154e-07
1a_1300_0928.csv,7.144636974367823e-07
1a_1300_0798.csv,4.964742596447604e-07
1a_1300_0485.csv,6.039616794105927e-07
1a_1300_0613.csv,5.587021074361173e-07
1a_1300_0082.csv,5.628199739617428e-07
1a_1300_0788.csv,5.841679840936866e-07
1a_1300_0982.csv,8.008249084193367e-07
1a_1300_0242.csv,7.570717962788557e-07
1a_1300_0644.csv,7.294626176898774e-07
1a_1300_0078.csv,7.648506598924848e-07
1a_1300_0804.csv,5.996802384388019e-07
1a_1300_0925.csv,5.637776518820478e-07
1a_1300_0036.csv,7.372713868553497e-07
1a_1300_0539.csv,6.003925361869342e-07
1a_1300_0120.csv,6.026008568093654e-07
1a_1300_0201.csv,5.693460557910266e-07
1a_1300_0202.csv,5.325245540458352e-07
1a_1300_0572.csv,6.550185366347086e-07
1a_1300_0389.csv,6.245897590975975e-07
1a_1300_0278.csv,9.247082857768605e-07
1a_1300_0271.csv,6.749254370021783e-07
1a_1300_0625.csv,1.1364461551021296e-06
1a_1300_0791.csv,5.25885251828648e-07
1a_1300_0468.csv,8.231193453055037e-07
1a_1300_0466.csv,4.3543845404207656e-07
1a_1300_0578.csv,5.531422499601341e-07
1a_1300_0821.csv,6.500281841148614e-07
1a_1300_0887.csv,5.7259277532563e-07
1a_1300_0692.csv,5.312607831136628e-07
1a_1300_0751.csv,4.870803557700038e-07
1a_1300_0262.csv,8.753349913979876e-07
1a_1300_0491.csv,7.180203193234061e-07
1a_1300_0475.csv,4.734404085700041e-07
1a_1300_0108.csv,5.430500857616667e-07
1a_1300_0168.csv,9.64441100699239e-07
1a_1300_0040.csv,4.6781188059266424e-07
1a_1300_0916.csv,1.2595247052303166e-06
1a_1300_0813.csv,5.344484403429466e-07
1a_1300_0511.csv,6.236290265026125e-07
1a_1300_0593.csv,5.02963714780568e-07
1a_1300_0166.csv,5.027674750008968e-07
1a_1300_0407.csv,6.724760408863475e-07
1a_1300_0148.csv,4.805194814220239e-07
1a_1300_0808.csv,8.004542364753735e-07
1a_1300_0391.csv,5.031214910284953e-07
1a_1300_0180.csv,5.281665101165755e-07
1a_1300_0898.csv,5.737132554655538e-07
1a_1300_0582.csv,7.572274390218209e-07
1a_1300_0223.csv,4.505686143569857e-07
1a_1300_0740.csv,6.124656637760653e-07
1a_1300_0129.csv,6.339073540210804e-07
1a_1300_0827.csv,5.288858344230994e-07
1a_1300_0267.csv,4.801029028446083e-07
1a_1300_0815.csv,4.5855012600383824e-07
1a_1300_0384.csv,4.998401399023294e-07
1a_1300_0544.csv,6.861126276132764e-07
1a_1300_0489.csv,8.118037028178048e-07
1a_1300_0349.csv,1.013946669834484e-06
1a_1300_0270.csv,5.048276370417954e-07
1a_1300_0605.csv,5.431593418015901e-07
1a_1300_0266.csv,4.0488973430343246e-07
1a_1300_0992.csv,6.249044051830704e-07
1a_1300_0459.csv,4.788910190661165e-07
1a_1300_0357.csv,8.736134405196731e-07
1a_1300_0452.csv,5.929695182774979e-07
1a_1300_0989.csv,4.772387421064222e-07
1a_1300_0069.csv,8.155924094663254e-07
1a_1300_0701.csv,5.266439535884185e-07
1a_1300_0525.csv,7.731077498791609e-07
1a_1300_0722.csv,7.471572534672173e-07
1a_1300_0463.csv,5.39740200439159e-07
1a_1300_0688.csv,6.297217508330998e-07
1a_1300_0147.csv,6.859020451610275e-07
1a_1300_0207.csv,7.0332809099269e-07
1a_1300_0461.csv,7.22311531192461e-07
1a_1300_0655.csv,5.657561612068337e-07
1a_1300_0765.csv,6.986151213288023e-07
1a_1300_0647.csv,6.623466892238395e-07
1a_1300_0083.csv,9.777193735005434e-07
1a_1300_0347.csv,6.768567014407984e-07
1a_1300_0043.csv,8.146761213284683e-07
1a_1300_0372.csv,6.439020177118199e-07
1a_1300_0907.csv,5.022166159416425e-07
1a_1300_0209.csv,5.441264716405155e-07
1a_1300_0704.csv,6.482064948186724e-07
1a_1300_0301.csv,6.853664323728954e-07
1a_1300_0731.csv,5.416422688000576e-07
1a_1300_0768.csv,8.025333876119506e-07
1a_1300_0922.csv,6.392264287026888e-07
1a_1300_0703.csv,4.3171183944739634e-07
1a_1300_0884.csv,6.205393332547613e-07
1a_1300_0662.csv,4.988984900713079e-07
1a_1300_0953.csv,4.6146219488870064e-07
1a_1300_0711.csv,6.427601658053491e-07
1a_1300_0024.csv,9.316095791166556e-07
1a_1300_0132.csv,5.748314508708738e-07
1a_1300_0320.csv,6.222183174759885e-07
1a_1300_0303.csv,1.0062060911605663e-06
1a_1300_0067.csv,5.909775730894414e-07
1a_1300_0742.csv,8.156131720322795e-07
1a_1300_0409.csv,4.734544495689294e-07
1a_1300_0726.csv,5.928053460666281e-07
1a_1300_0366.csv,5.427456617522301e-07
1a_1300_0825.csv,6.188339522041977e-07
1a_1300_0125.csv,6.621095165784437e-07
1a_1300_0360.csv,5.352529105659119e-07
1a_1300_0280.csv,5.237843600808205e-07
1a_1300_0188.csv,5.045909613192116e-07
1a_1300_0835.csv,7.229389791805173e-07
1a_1300_0417.csv,5.267223758697991e-07
1a_1300_0899.csv,6.770251097088544e-07
1a_1300_0152.csv,4.965764859766279e-07
1a_1300_0517.csv,8.036455814708987e-07
1a_1300_0636.csv,4.945985833592879e-07
1a_1300_0169.csv,8.295951150191084e-07
1a_1300_0331.csv,7.667141411886735e-07
1a_1300_0449.csv,6.611878433211039e-07
1a_1300_0053.csv,5.244377608914603e-07
1a_1300_0299.csv,8.113266883214634e-07
1a_1300_0551.csv,4.954051946165515e-07
1a_1300_0900.csv,8.410080730439948e-07
1a_1300_0446.csv,5.927653513923302e-07
1a_1300_0027.csv,4.6364274445409673e-07
1a_1300_0370.csv,4.48703631824737e-07
1a_1300_0269.csv,7.021729933621026e-07
1a_1300_0257.csv,6.061402463759128e-07
1a_1300_0423.csv,5.084509399487243e-07
1a_1300_0837.csv,6.036012518266287e-07
1a_1300_0013.csv,8.726069419182169e-07
1a_1300_0873.csv,7.046236043353495e-07
1a_1300_0890.csv,5.848226032204628e-07
1a_1300_0744.csv,4.589215283515131e-07
1a_1300_0656.csv,8.597904229376234e-07
1a_1300_0087.csv,4.889587664795167e-07
1a_1300_0668.csv,5.003501249602099e-07
1a_1300_0099.csv,9.305666066900316e-07
1a_1300_0926.csv,8.22468391246707e-07
1a_1300_0889.csv,4.887338469423291e-07
1a_1300_1000.csv,5.58170785636499e-07
1a_1300_0065.csv,6.893317186583672e-07
1a_1300_0817.csv,5.554103877895702e-07
1a_1300_0579.csv,1.1813306553847373e-06
1a_1300_0315.csv,6.517438952799525e-07
1a_1300_0151.csv,1.0969582369116954e-06
1a_1300_0552.csv,5.449907618468339e-07
1a_1300_0766.csv,5.869595074375743e-07
1a_1300_0535.csv,5.478744545562701e-07
1a_1300_0194.csv,5.209098183535865e-07
1a_1300_0807.csv,4.6882631573547667e-07
1a_1300_0753.csv,6.064791531812325e-07
1a_1300_0690.csv,7.732826262563487e-07
1a_1300_0523.csv,4.7281844007266434e-07
1a_1300_0850.csv,4.894183777755531e-07
1a_1300_0497.csv,7.212589959542218e-07
1a_1300_0146.csv,9.120013067663734e-07
1a_1300_0103.csv,6.317860158678562e-07
1a_1300_0203.csv,4.637840509064218e-07
1a_1300_0609.csv,6.072373796015373e-07
1a_1300_0300.csv,8.947606278342003e-07
1a_1300_0961.csv,5.682367104539918e-07
1a_1300_0229.csv,5.179019137313079e-07
1a_1300_0161.csv,9.024558748059918e-07
1a_1300_0070.csv,5.721696226028941e-07
1a_1300_0312.csv,2.0266740336319088e-06
1a_1300_0221.csv,5.106234076711554e-07
1a_1300_0782.csv,6.720689179103111e-07
1a_1300_0937.csv,7.779101434282155e-07
1a_1300_0458.csv,5.405240706910786e-07
1a_1300_0059.csv,6.061385625121015e-07
1a_1300_0351.csv,5.372085458647078e-07
1a_1300_0097.csv,9.33420894007676e-07
1a_1300_0941.csv,5.466769069951192e-07
1a_1300_0635.csv,6.602170462864238e-07
1a_1300_0472.csv,4.230216941622293e-07
1a_1300_0750.csv,9.541181905577303e-07
1a_1300_0923.csv,5.090979346112313e-07
1a_1300_0198.csv,5.307090053429461e-07
1a_1300_0305.csv,1.1434718809076024e-06
1a_1300_0451.csv,9.997675311710543e-07
1a_1300_0026.csv,5.968667266095179e-07
1a_1300_0914.csv,8.773177938436892e-07
1a_1300_0863.csv,5.151332694802865e-07
1a_1300_0924.csv,7.914475365321035e-07
1a_1300_0812.csv,5.311594609431754e-07
1a_1300_0044.csv,5.052110920857591e-07
1a_1300_0350.csv,9.01273617867577e-07
1a_1300_0286.csv,1.261748437610393e-06
1a_1300_0114.csv,7.809015649098251e-07
1a_1300_0553.csv,6.461939778557831e-07
1a_1300_0828.csv,7.498666895538407e-07
1a_1300_0612.csv,6.654979681449909e-07
1a_1300_0669.csv,1.0480639286412607e-06
1a_1300_0415.csv,5.639516115388539e-07
1a_1300_0822.csv,7.933900430747629e-07
1a_1300_0344.csv,5.900583623799291e-07
1a_1300_0933.csv,5.747942192428936e-07
1a_1300_0771.csv,8.081334237024615e-07
1a_1300_0987.csv,4.570585282744017e-07
1a_1300_0586.csv,4.5885530769964523e-07
1a_1300_0431.csv,5.800333473857062e-07
1a_1300_0583.csv,6.417768558051961e-07
1a_1300_0211.csv,5.107529525259118e-07
1a_1300_0800.csv,5.949498640669334e-07
1a_1300_0939.csv,5.033293287884193e-07
1a_1300_0779.csv,4.840785450674205e-07
1a_1300_0917.csv,5.084811551484953e-07
1a_1300_0032.csv,6.581250111477802e-07
1a_1300_0597.csv,5.463259463548142e-07
1a_1300_0944.csv,9.080194671786214e-07
1a_1300_0413.csv,4.5059425187136e-07
1a_1300_0177.csv,4.956130271125879e-07
1a_1300_0096.csv,7.860799446870124e-07
1a_1300_0628.csv,6.071035579985724e-07
1a_1300_0594.csv,4.909626122339677e-07
1a_1300_0324.csv,9.854143112377302e-07
1a_1300_0354.csv,4.514875327115893e-07
1a_1300_0832.csv,9.376643466793913e-07
1a_1300_0430.csv,1.2359804816668868e-06
