file_names,integrated_signal_Vs
1b_AM_1_1033.csv,1.2140269070722475e-06
1b_AM_1_0922.csv,5.918324405973814e-07
1b_AM_2_2149.csv,3.322046069272274e-07
1b_AM_2_2987.csv,3.3193958385491916e-07
1b_AM_1_0644.csv,5.615422834172369e-07
1b_AM_1_3993.csv,2.7137455559494565e-07
1b_AM_1_0510.csv,4.634184958521244e-07
1b_AM_2_1357.csv,1.9581267844656824e-07
1b_AM_2_4420.csv,6.447789279297748e-07
1b_AM_1_0421.csv,5.487085801032637e-07
1b_AM_2_4038.csv,5.647037943827617e-07
1b_AM_2_4208.csv,5.066698212026764e-07
1b_AM_1_3345.csv,3.008065490535836e-07
1b_AM_1_3061.csv,5.303748870428099e-07
1b_AM_2_3196.csv,2.3252169267557343e-07
1b_AM_2_0206.csv,6.07294463443364e-07
1b_AM_2_3709.csv,7.420725030550203e-07
1b_AM_1_0234.csv,4.087076623652795e-07
1b_AM_2_3184.csv,5.602749764397854e-07
1b_AM_2_0783.csv,3.031963242405223e-07
1b_AM_1_4377.csv,4.259032050420153e-07
1b_AM_2_2084.csv,6.613175441128227e-07
1b_AM_1_1356.csv,4.210973877604988e-07
1b_AM_2_1113.csv,2.986960547414632e-07
1b_AM_2_2677.csv,3.104558664887267e-07
1b_AM_1_0924.csv,4.0919742928166834e-07
1b_AM_1_0623.csv,6.297971678771499e-07
1b_AM_2_4179.csv,3.812703758010612e-07
1b_AM_2_2605.csv,2.690957419750829e-07
1b_AM_2_0272.csv,3.222094213511334e-07
1b_AM_2_2925.csv,7.791486436986337e-07
1b_AM_1_4939.csv,7.913775940118085e-07
1b_AM_1_0062.csv,4.3113353080704004e-07
1b_AM_2_2574.csv,3.55662992429458e-07
1b_AM_2_1029.csv,2.895117634655976e-07
1b_AM_1_0207.csv,7.886517983798405e-07
1b_AM_1_4471.csv,2.586790214973911e-07
1b_AM_2_0513.csv,2.5773462106276763e-07
1b_AM_1_3947.csv,3.0293562989849815e-07
1b_AM_2_0414.csv,6.914360063200325e-07
1b_AM_2_3547.csv,5.710419609434382e-07
1b_AM_1_4981.csv,3.817972415789758e-07
1b_AM_2_0202.csv,4.3109257101121677e-07
1b_AM_2_3810.csv,3.05319980659495e-07
1b_AM_2_1322.csv,9.262993497806674e-07
1b_AM_1_0738.csv,3.8340392569800465e-07
1b_AM_1_1362.csv,5.357863955134971e-07
1b_AM_1_0045.csv,4.908947332648369e-07
1b_AM_2_3805.csv,3.879521625843019e-07
1b_AM_1_3027.csv,4.2962449915940574e-07
1b_AM_1_3313.csv,4.2237251657430397e-07
1b_AM_2_0515.csv,2.706035049800007e-07
1b_AM_2_0829.csv,5.379169364545443e-07
1b_AM_1_0601.csv,2.5192047897567177e-07
1b_AM_2_0311.csv,5.536280354711537e-07
1b_AM_1_3227.csv,3.084300012911992e-07
1b_AM_2_2337.csv,3.168118546211029e-07
1b_AM_2_4564.csv,7.703167716314773e-07
1b_AM_1_3246.csv,3.7863973853102016e-07
1b_AM_2_1728.csv,7.878140644717777e-07
1b_AM_2_1639.csv,2.944873905091279e-07
1b_AM_2_2810.csv,1.6994864891111178e-06
1b_AM_2_4562.csv,4.85206772934837e-07
1b_AM_2_4490.csv,4.848018445678783e-07
1b_AM_2_0318.csv,2.5495218785920215e-07
1b_AM_2_0244.csv,2.2852658292641795e-07
1b_AM_1_0149.csv,6.746403300479659e-07
1b_AM_2_1777.csv,2.6878738947474653e-07
1b_AM_2_4301.csv,3.72755011290252e-07
1b_AM_2_3511.csv,3.558907546180635e-07
